8 9
12 14
12 19
43 44
14 12
167 168
129 183
246 247
249 256
183 198
183 183
19 12
264 265
264 266
264 267
129 270
275 276
280 270
280 168
280 167
280 290
280 203
280 14
280 291
280 129
280 292
293 19
129 294
12 293
167 167
167 201
167 133
11 324
290 290
141 332
43 358
359 360
44 362
44 293
362 44
362 293
265 264
374 44
14 290
133 399
133 167
133 133
133 401
133 232
133 291
133 206
133 403
43 406
43 407
183 129
172 413
267 19
9 19
419 290
9 421
425 426
430 249
270 129
440 413
440 275
441 360
324 11
19 267
451 452
65 457
458 129
406 11
275 172
464 280
466 421
265 19
280 464
176 292
267 265
292 176
12 265
291 291
172 275
172 93
167 280
290 484
44 407
487 488
19 161
95 201
199 197
199 199
199 200
199 167
199 203
199 206
199 95
199 207
199 201
450 440
450 275
450 458
493 294
440 450
168 129
198 183
232 232
264 498
499 44
499 500
499 501
499 502
499 503
499 406
499 407
499 504
499 505
499 43
499 358
499 506
265 267
7 44
129 168
141 7
267 498
19 265
19 362
362 498
12 12
129 365
249 129
168 515
213 360
515 168
141 430
430 141
522 523
7 141
440 168
499 525
44 44
183 365
44 500
44 43
44 365
450 256
466 141
466 529
466 496
466 498
246 530
141 466
534 256
201 486
168 440
176 176
466 9
542 183
542 399
542 413
542 168
542 543
542 256
542 419
542 440
542 544
542 275
542 458
542 403
275 542
440 542
133 280
534 544
280 133
12 141
534 440
544 542
421 529
421 496
496 421
496 529
19 7
324 555
249 430
450 95
458 542
14 280
232 556
359 452
183 543
359 558
529 359
419 542
506 44
506 365
529 421
562 562
95 207
563 290
232 133
450 413
450 172
12 565
14 430
566 452
290 567
129 450
290 568
569 360
569 161
569 7
569 566
569 570
569 452
451 496
566 569
450 129
543 183
452 141
452 359
573 566
280 574
493 129
374 7
129 172
232 53
129 493
172 129
43 43
7 569
264 500
264 440
264 452
458 458
484 563
43 505
53 280
498 506
247 246
247 19
95 95
197 197
359 529
585 585
484 290
362 362
506 506
450 542
413 542
570 569
413 172
168 280
95 199
95 200
95 167
95 206
95 93
486 183
280 53
129 256
129 486
486 129
183 486
14 526
14 53
14 403
14 486
267 267
362 441
419 450
441 498
440 200
440 562
440 458
440 65
12 161
359 141
360 213
141 359
201 207
93 93
168 526
526 168
129 458
129 600
201 133
265 12
602 569
43 499
43 498
569 602
133 201
7 161
498 43
213 247
213 499
213 608
213 246
161 7
7 374
141 529
498 359
620 620
486 486
441 374
452 566
129 585
213 529
623 623
275 515
161 12
129 572
457 401
129 413
12 510
413 129
324 43
452 43
452 451
294 206
401 457
280 280
168 168
374 374
430 498
569 43
425 425
275 413
275 440
486 201
496 141
496 466
496 498
401 425
498 496
566 43
12 573
362 7
7 362
183 362
183 19
496 496
466 608
556 232
359 421
359 496
359 213
466 267
264 264
506 141
11 11
249 441
526 403
44 430
430 44
441 264
264 441
44 506
19 441
11 406
129 249
141 498
19 183
133 65
129 568
183 44
458 600
562 440
450 450
466 649
167 53
141 362
44 183
526 290
65 413
65 200
65 440
65 275
65 562
133 568
129 290
365 365
19 19
267 570
658 658
44 19
7 7
525 525
525 247
525 499
525 8
525 406
566 141
172 172
452 573
525 9
525 466
661 502
413 440
413 275
275 562
425 664
362 666
362 11
362 365
7 666
7 19
7 661
7 12
183 168
183 401
275 450
161 569
452 569
53 232
141 496
666 452
608 466
11 362
213 359
9 8
451 265
265 451
562 65
493 401
430 672
129 401
167 203
129 129
290 572
290 620
569 358
141 674
572 290
290 198
608 267
362 183
129 93
11 161
566 7
7 566
19 570
529 506
542 129
129 542
267 608
498 430
458 450
207 207
168 291
168 542
168 450
93 133
496 451
450 168
666 362
611 486
568 129
264 608
264 213
486 458
362 506
290 584
543 688
543 689
458 440
141 510
510 141
493 280
543 542
543 292
292 543
